date_hour,consumption_hour
2019-03-13 22:00:00,34
2019-03-13 23:00:00,106
2019-03-14 00:00:00,126
2019-03-14 01:00:00,530
2019-03-14 02:00:00,130
2019-03-14 03:00:00,34
2019-03-14 04:00:00,130
2019-03-14 05:00:00,68
2019-03-14 06:00:00,70
2019-03-14 07:00:00,126
2019-03-14 08:00:00,260
2019-03-14 09:00:00,276
2019-03-14 10:00:00,1246
2019-03-14 11:00:00,1316
2019-03-14 12:00:00,422
2019-03-14 13:00:00,36
2019-03-14 14:00:00,126
2019-03-14 15:00:00,60
2019-03-14 16:00:00,72
2019-03-14 17:00:00,124
2019-03-14 18:00:00,334
2019-03-14 19:00:00,466
2019-03-14 20:00:00,300
2019-03-14 21:00:00,94
2019-03-14 22:00:00,110
2019-03-14 23:00:00,96
2019-03-15 00:00:00,204
2019-03-15 01:00:00,42
2019-03-15 02:00:00,108
2019-03-15 03:00:00,120
2019-03-15 04:00:00,34
2019-03-15 05:00:00,128
2019-03-15 06:00:00,390
2019-03-15 07:00:00,432
2019-03-15 08:00:00,1442
2019-03-15 09:00:00,1026
2019-03-15 10:00:00,1444
2019-03-15 11:00:00,1378
2019-03-15 12:00:00,1408
2019-03-15 13:00:00,836
2019-03-15 14:00:00,130
2019-03-15 15:00:00,102
2019-03-15 16:00:00,52
2019-03-15 17:00:00,126
2019-03-15 18:00:00,32
2019-03-15 19:00:00,126
2019-03-15 20:00:00,1028
2019-03-15 21:00:00,76
2019-03-15 22:00:00,126
2019-03-15 23:00:00,32
2019-03-16 00:00:00,126
2019-03-16 01:00:00,40
2019-03-16 02:00:00,118
2019-03-16 03:00:00,86
2019-03-16 04:00:00,74
2019-03-16 05:00:00,134
2019-03-16 06:00:00,34
2019-03-16 07:00:00,128
2019-03-16 08:00:00,32
2019-03-16 09:00:00,408
2019-03-16 10:00:00,44
2019-03-16 11:00:00,112
2019-03-16 12:00:00,106
2019-03-16 13:00:00,46
2019-03-16 14:00:00,428
2019-03-16 15:00:00,34
2019-03-16 16:00:00,126
2019-03-16 17:00:00,40
2019-03-16 18:00:00,120
2019-03-16 19:00:00,94
2019-03-16 20:00:00,62
2019-03-16 21:00:00,126
2019-03-16 22:00:00,34
2019-03-16 23:00:00,496
2019-03-17 00:00:00,34
2019-03-17 01:00:00,128
2019-03-17 02:00:00,78
2019-03-17 03:00:00,80
2019-03-17 04:00:00,124
2019-03-17 05:00:00,34
2019-03-17 06:00:00,128
2019-03-17 07:00:00,34
2019-03-17 08:00:00,564
2019-03-17 09:00:00,42
2019-03-17 10:00:00,114
2019-03-17 11:00:00,90
2019-03-17 12:00:00,64
2019-03-17 13:00:00,468
2019-03-17 14:00:00,34
2019-03-17 15:00:00,1906
2019-03-17 16:00:00,2512
2019-03-17 17:00:00,1416
2019-03-17 18:00:00,890
2019-03-17 19:00:00,1126
2019-03-17 20:00:00,1274
2019-03-17 21:00:00,1722
2019-03-17 22:00:00,1486
2019-03-17 23:00:00,1264
2019-03-18 00:00:00,1126
2019-03-18 01:00:00,682
2019-03-18 02:00:00,1414
2019-03-18 03:00:00,1322
2019-03-18 04:00:00,134
2019-03-18 05:00:00,38
2019-03-18 06:00:00,120
2019-03-18 07:00:00,118
2019-03-18 08:00:00,34
2019-03-18 09:00:00,246
2019-03-18 10:00:00,1198
2019-03-18 11:00:00,148
2019-03-18 12:00:00,668
2019-03-18 13:00:00,604
2019-03-18 14:00:00,882
2019-03-18 15:00:00,782
2019-03-18 16:00:00,1112
2019-03-18 17:00:00,672
2019-03-18 18:00:00,32
2019-03-18 19:00:00,128
2019-03-18 20:00:00,408
2019-03-18 21:00:00,508
2019-03-18 22:00:00,1494
